loading|LOADING...
optionsDescQuantColor5|The color thirty second notes use when quantization colors are enabled.
optionsDescNoteskin|Change your current noteskin.
optionsDescEditorRes|Not showing the editor grid will greatly increase editor performance.
optionsDescEditorZoom|What zoom the chart editor is at when you open it.
optionsDescDownscroll|Toggle making the notes scroll down rather than up.
optionsDescDFJK|Edit your keybindings.
optionsDescJudgement|Create a custom judgement preset.
optionsDescFPSCap|Change your FPS Cap.
optionsDescScrollSpeed|Change your scroll speed. (1 = Chart dependent)
optionsDescAccuracyCalc|Change how accuracy is calculated. (Accurate = Judgement Based, Complex = Milisecond Based)
optionsDescResetButton|Toggle pressing R to instantly game over.
optionsDescInstantRespawn|Toggle if you instantly respawn after dying.
optionsDescOffsetThing|Offset the chart to counteract audio delays. (Value is in millseconds)
optionsDescBotplay|Let the game play itself. (Freeplay Only, Songs you've beaten only)
optionsDescCustomizeGameplay|Drag and drop gameplay modules to your preferred positions.
optionsDescDistractions|Toggle stage distractions that can hinder your gameplay.
optionsDescMiddleScroll|Remove the opponenet's strumline and place yours in the center of the screen.
optionsDescHealthBar|Toggle health bar visibility.
optionsDescJudgementCounter|Show the judgements you've gotten on the side of the screen.
optionsDescLaneUnderlay|Controls the transparency of the black backgrounds behind each lane. (Higher = More visible)
optionsDescLaneBorder|Controls the width (in pixels) on the left and right of the black lane backgrounds.
optionsDescStepMania|Sets the colors of the notes depending on quantization instead of direction.
optionsDescStepManiaAdvanced|Customize how quantization coloring works.
optionsDescCamZoom|Toggle the camera zoom in-game.
optionsDescAccuracy|Display accuracy information on the info bar.
optionsDescSongPosition|Show the song's current position as a scrolling bar.
optionsDescColour|Color the health bar based on the characters' icons.
optionsDescNPSDisplay|Shows your current Notes Per Second on the info bar.
optionsDescRainbowFPS|Make the FPS Counter flicker through rainbow colors.
optionsDescColorIcons|Recolor the icons on the health bar to accurately resemble the characters.
optionsDescFPS|Toggle the FPS Counter
optionsDescFlashingLights|Toggle flashing lights that can cause epileptic seizures and strain.
optionsDescWatermark|Toggle all watermarks from Kade Engine.
optionsDescAntialiasing|Toggle antialiasing, improving graphics quality at a slight performance penalty.
optionsDescMissSounds|Toggle miss sounds playing when you don't hit a note.
optionsDescScoreScreen|Show the score screen after the end of a song (Freeplay Only)
optionsDescShowInput|Display every single input on the score screen.
optionsDescGraphicLoading|On startup, cache every character and noteskin. Significantly decrease load times. (HIGH MEMORY)
optionsDescExtraSongInfo|Show extra information about each song in the Freeplay menu.
optionsDescSubtitles|Display subtitles for Antimus' dialogue in cutscenes.
optionsDescResetScore|Reset your score on all songs. This is irreversible!
optionsDescResetSettings|Reset ALL your settings. This is irreversible!

optionsUnavailableInPause|This option cannot be toggled in the pause menu.

ratingNPS|NPS: {nps} (Max {maxNPS})
ratingScore|Score: {score}
ratingMisses|Combo Breaks: {misses}
ratingAccuracy|Accuracy: {accuracy}
judgementCounterSicks|Sicks:
judgementCounterGoods|Goods:
judgementCounterBads|Bads:
judgementCounterShits|Shits:
judgementCounterMisses|Misses:
skipIntro|Press Space to Skip Intro

pauseResume|Resume
pauseRestart|Restart Song
pauseSkip|Skip Song
pauseOptions|Options
pauseExit|Exit to menu

resultScreenClear|Song Cleared!
resultScreenJudgements|Judgements:
resultScreenSicks|Sicks -
resultScreenGoods|Goods -
resultScreenBads|Bads -
resultScreenMisses|Combo Breaks:
resultScreenHighestCombo|Highest Combo:
resultScreenScore|Score:
resultScreenAccuracy|Accuracy:
resultScreenRate|Rate:
resultScreenReplaySong|F1 - Replay song
resultScreenContinue|Press {key} to continue.
resultScreenSettings|Mean: {mean}ms (SICK:{sickWindow}ms,GOOD:{goodWindow}ms,BAD:{badWindow}ms,SHIT:{shitWindow}ms)

subtitleDoWhatYouAlways|Well, what does it matter? Let us do what you always do. Mic?
subtitleHowCourteous|How courteous of you to drag your equipment all the way in here. How DO you lug that stereo around, anyways?
subtitleMattersMuch|I don't think it matters much; I know the one thing you really care about.
subtitleSomeParty|Heh. Some party, eh?
subtitleThankYouMiss|Thank you, miss.
subtitleWhiteLies|So I told a few little white lies to get you over here.

subtitleCheating|That is... unless you're cheating.
subtitleImJoking|Heh. I'm joking, obviously.
subtitleLetMeKnow|Let me know if I'm right.
subtitleNotBad|Not bad at all for a boy of small stature.
subtitleTwistTheBattles|But there's something I believe you have to twist the battles in your favor.
subtitleYourGirlfriend|Heh heh heh... Your girlfriend. What secrets is she keeping? What does her outward appearance hide?

subtitleIllogicalNature|Somehow, despite the illogical nature of it, I've created a device that can counter it.
subtitleItsYouIsntIt|After all, it's you, isn't it? The reason he can always recover from even... death itself.
subtitleMissHimAlready|Aww, how adorable. Miss him already?
subtitleMyTheory|Heheheheeeeh. Seems like my theory was true.
subtitleNervesOfSteel|Those nerves of steel you've got seem to have been tossed aside! Heh heh hah hah hah haah!
subtitlePushedTooHard|It happens every time he loses, doesn't it? Any time he's PUSHED too hard.
subtitleTheSupernatural|The supernatural is a curious thing, especially for me as a man of... science and experimentation.

subtitleAhFuck1|Aaahhaaahh!
subtitleAhFuck2|Ah, fuck!
subtitleSkillsImpressive|I must admit, your skills are impressive.
subtitleSuchIntensity|I didn't even think it possible for such... INTENSITY to come from such a tiny body!
subtitleYourLungs|Like how big can your lungs possibly even be?

endText1|Good job!##If you want to unlock the Bonus Song,#beat the week on Hard.#
endText2|Good job!##If you want to unlock the Bonus Song,#beat the week without skipping any songs#except the ones you've already beaten on Hard.#
endText3|Congratulations!##You have unlocked the Bonus Song,#playable via the Free Play menu.#
